time,clean_signal,interfered_signal
0.0,0.0,-0.2755284372020967
0.0005,0.3090169943749474,0.8588445984173378
0.001,0.5877852522924731,1.0324940780852963
0.0015,0.8090169943749475,1.2513712350660537
0.002,0.9510565162951535,1.017128309476977
0.0025,1.0,0.4492443556756762
0.003,0.9510565162951535,0.2154317375597928
0.0035,0.8090169943749475,0.316427251626651
0.004,0.5877852522924732,0.7296033319526154
0.0045000000000000005,0.3090169943749471,0.4616285344766545
0.005,1.2246467991473532e-16,0.21273287230947502
0.0055,-0.3090169943749473,0.4561794451929921
0.006,-0.5877852522924734,-0.37407776641509627
0.006500000000000001,-0.8090169943749479,-0.9560382965034764
0.007,-0.9510565162951535,-1.4817165639191632
0.0075,-1.0,-1.7088857997971532
0.008,-0.9510565162951536,-1.0166902617503824
0.0085,-0.809016994374947,-0.374622910300305
0.009000000000000001,-0.5877852522924726,0.03422454591626378
0.0095,-0.3090169943749477,0.40184391465252794
0.01,-2.4492935982947064e-16,0.02994080781830708
0.0105,0.309016994374948,0.14425026412232578
0.011,0.5877852522924729,-0.21536494886578872
0.0115,0.8090169943749472,0.6422298164275713
0.012,0.9510565162951538,0.8419284062203478
0.0125,1.0,1.2353679724965823
0.013000000000000001,0.9510565162951531,1.60847107201755
0.0135,0.8090169943749476,1.0609306870441604
0.014,0.5877852522924734,0.4600217759455312
0.0145,0.3090169943749478,0.24726827440099935
0.015,3.6739403974420594e-16,-0.6860978589825967
0.0155,-0.30901699437494706,-0.9898755045451804
0.016,-0.5877852522924728,-0.6868173128145989
0.0165,-0.8090169943749482,-0.21254555238387082
0.017,-0.951056516295154,-0.3073934016203618
0.0175,-1.0,-0.9820528011687378
0.018000000000000002,-0.9510565162951532,-1.040106364792765
0.0185,-0.8090169943749477,-1.3759703885785242
0.019,-0.5877852522924735,-1.6539536605580252
0.0195,-0.3090169943749479,-0.9345801694348977
0.02,-4.898587196589413e-16,-0.1487017682260169
0.0205,0.3090169943749486,0.7885015913409823
